Uniform SKU,length_cm,width_cm,height_cm,11/21/2024,11/22/2024,11/23/2024,11/24/2024,11/25/2024,11/26/2024,11/27/2024,11/28/2024,11/29/2024,11/30/2024,12/1/2024,12/2/2024,12/3/2024,12/4/2024,12/5/2024,12/6/2024,12/7/2024,12/8/2024,12/9/2024,12/10/2024,12/11/2024,12/12/2024,12/13/2024,12/14/2024,12/15/2024,12/16/2024,12/17/2024,12/18/2024,12/19/2024,12/20/2024,12/21/2024,12/22/2024,12/23/2024,12/24/2024,12/25/2024,12/26/2024,12/27/2024,12/28/2024,12/29/2024,12/30/2024,12/31/2024,1/1/2025,1/2/2025,1/3/2025,1/4/2025,1/5/2025,1/6/2025,1/7/2025,1/8/2025,1/9/2025,1/10/2025,1/11/2025,1/12/2025,1/13/2025,1/14/2025,1/15/2025,1/16/2025,1/17/2025,1/18/2025,1/19/2025,1/20/2025,1/21/2025,1/22/2025,1/23/2025,1/24/2025,1/25/2025,1/26/2025,1/27/2025,1/28/2025,1/29/2025,1/30/2025,1/31/2025
2201-060905,13,6,4.25,,,,,1,1,,,,,,,,,10,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,5,,,,,,,,,,
2201-060908,13,6,4.25,,,,,,,,,,,,,,,,,,,,1,,,,,,,10,2,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,3,2,,,,,,1,,,
2201-060911,13,6,4.25,,,,,,,,,1,,,,,,,,1,,,2,,,,1,,,,,,,,,,1,,,,,1,2,1,,,,,,,,,,5,2,,2,,2,,,,,,,,,,,,,,,,
2201-060916,13,6,4.25,,5,,,,1,1,,,,,,,,6,,,,,,,1,1,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,
2201-060921,13,6,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,,2,,,,,,,,,,,,,,,,,
2201-060926,13,6,4.25,,,,,,,,,,,,,1,,4,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,1,10,10,,2,,,,10,,,,,,,,
2201-060932,13,6,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,
2201-060936,13,6,4.25,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2201-060941,13,6,4.25,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,4,,,,,,,,,,,,,,,,
2201-060999,13,6,4.25,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2201-101505,21,11,5,,,,,,15,,,,,,,,,,,,,2,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,2,,,,1,3,,
2201-101508,21,11,5,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,
2201-101511,21,11,5,,,,,,,1,,,,,1,,,,3,,,,2,,1,10,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,1,,,,,,1,,,,,,,,3,,
2201-101516,21,11,5,,,,,,,,,,,,,1,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,10,,,,,,,
2201-101521,21,11,5,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,2,,,,,,,,,,1
2201-101526,21,11,5,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,
2201-101532,21,11,5,,,,5,,,,,,,,,1,,2,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,,2,1,,,,,,,,,,,2,,,,
2201-101536,21,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
2201-101541,21,11,5,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,1,,,,,,,1,1,,
2201-101599,21,11,5,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2201-121805,24,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2201-121808,24,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2201-121811,24,13,5,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,
2201-121816,24,13,5,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,5,,,1,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2201-121821,24,13,5,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,
2201-142005,26,15,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,2,,,,
2201-142011,26,15,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,
2201-142016,26,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,2,,,,,,,,,,,,,,,
2201-751005,14,7.5,4.25,,1,1,,,8,,,,,,,,1,,,1,18,69,,,,,,,5,,,,,,,5,,,,,,,3,,,,,10,,,3,,,,,4,,,,,,5,,,,,,,,,,,,,
2201-751008,14,7.5,4.25,,,,,,,,,1,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,10,,22,,,
2201-751011,14,7.5,4.25,,1,,,,,,,,,,9,2,,1,,,,21,2,1,,10,,1,,,7,,,,,1,,,,,,1,,,,,5,,,1,,,,1,2,,,,,,,,,,,1,,,,,,1,,,
2201-751016,16,8,4,,,,,,,,,,,,1,,,1,30,,18,1,,,,,,,,,2,,,,,20,,,,,,,,,,,,20,,,,,,,,,,,21,,,,,,,2,,20,,,,5,,,
2201-751021,14,7.5,4.25,,1,,,,,,,,,,8,,1,6,,1,12,10,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,
2201-751026,14,7.5,4.25,,1,,,,,,,,,,3,,,,,,,4,,,2,,,,,,1,,,,,1,,,,,,,25,10,,,,,,,3,,,,,,,,,,,,,,,3,,1,,,,1,,,
2201-751032,14,7.5,4.25,,,,,,,,,,,,,,,1,,,,2,,,2,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,5,,,,1,,,,1,,,,,,2,,,
2201-751036,14,7.5,4.25,,,,,,1,,,,,,2,,1,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,
2201-751041,14,7.5,4.25,,1,,,,,,,,,2,3,,,,,,,3,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,,,,,,,,,,1,,,,,,1,,,,10,,,
2201-751051,14,7.5,4.25,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,2,,,4,,,,,3,,,4,,,,40,,,,,,,,1,,,,,,4,,,
2201-751099,14,7.5,4.25,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,3,,,,,,,1,,,,,,5,,,
2201-851305,17,8.5,4.25,1,,,,,,,,,,,,,,,,1,,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,2,,,,10,,2,,,,,
2201-851308,17,8.5,4.25,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2201-851311,17,8.5,4.25,,,,,,,,,10,,,,,,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,2,,,,,,10,2,,2,,,,1,,,,,,,,,,,,
2201-851316,17,8.5,4.25,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,20,,,,,10,,,,20,,,,,,,
2201-851321,17,8.5,4.25,,,,,,,,,,,,5,,,,,,,,,,,,1,,,,,,2,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
2201-851326,17,8.5,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
2201-851336,17,8.5,4.25,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2201-851341,17,8.5,4.25,,,,,,,,,,,,5,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,1,,,
2201-851399,17,8.5,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,2,,,
2202-101504,19,10,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2202-101515,19,10,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2202-101520,19,10,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,
2202-101525,19,10,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,
2202-101530,19,10,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2202-101535,19,10,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2202-121804,22,12,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
2202-121807,22,12,4.25,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2202-121820,22,12,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2202-121825,22,12,4.25,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,20,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2202-121830,22,12,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2202-121835,22,12,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2202-121840,22,12,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2202-121850,22,12,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2202-142007,27,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2202-142015,27,15,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2202-142020,27,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,
2202-142030,27,15,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2202-142040,27,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2202-851304,17,8.5,4.25,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,1,,,,,,25,,,,,,,,,,3,,,,,,,3,,,,,,,5,,
2202-851307,17,8.5,4.25,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
2202-851310,17,8.5,4.25,,,,,,,,,,,,1,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,5,,,,5,,,,,2,,
2202-851315,17,8.5,4.25,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2202-851320,17,8.5,4.25,,,,,,,,,,,,,,,,,,,4,,,,,,,,,1,10,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
2202-851325,17,8.5,4.25,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2202-851330,17,8.5,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,5,,,4,,50,,,,,,,,,,,,,,,,,,,,,2,,
2202-851335,17,8.5,4.25,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2202-851340,17,8.5,4.25,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2202-851399,17,8.5,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,10,,,
2203-101504,21,11,5,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,6,
2203-101507,21,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,
2203-101510,21,11,5,2,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,
2203-101515,21,11,5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
2203-101520,21,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,,,,,,2,,,
2203-101525,21,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203-101530,21,11,5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203-101540,21,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,
2203-121804,22,12,3.75,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,1,,,,,,,,,,,10,,,2,,,20,10,,,,,,,,,,5,,,2,
2203-121807,22,12,3.75,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,
2203-121815,22,12,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
2203-121820,22,12,3.75,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203-121825,22,12,3.75,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2203-121830,22,12,3.75,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203-121840,22,12,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203-121899,22,12,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203-152204,30,15,5,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
2203-182604,33,18,6,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203-751004,14,7.5,3.75,,1,,,2,,,,10,,,,,,,,,,,,,,,,,,,,4,,5,,,,,,,10,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,10,,1,,,2,20,
2203-751007,14,7.5,3.75,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203-751010,14,7.5,3.75,,1,,,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203-751015,14,7.5,3.75,,,,,2,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203-751020,14,7.5,3.75,,1,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
2203-751025,14,7.5,3.75,,1,,,2,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
2203-751030,14,7.5,3.75,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203-751040,14,7.5,3.75,,1,,,2,,,,5,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,
2203-751099,14,7.5,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
2203-851304,17,8.5,3.75,,,,,,,,,,,,,20,,,,,,,,,,,,,,1,,,2,,,1,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
2203-851307,17,8.5,3.75,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203-851310,17,8.5,3.75,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203-851315,17,8.5,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2203-851320,17,8.5,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
2203-851325,17,8.5,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
2203-851330,17,8.5,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
2204-071316,17,7,4,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2204-091616,20,9,4,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
2204-101516,19,10,4,1,,,,,,20,,,1,,3,,,,,,,,,,,1,,,,,,,,,,,,,,10,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
2204-101716,21,10,4,,,,,,,,,,,,,,,,5,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,4,,,,,,,,,2
2204-121816,22,12,4,,,,,,,,,,,,,2,,,,,,4,,,,,,,,,,,,,,,,,,4,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,10,,,,,,
2204-122016,24,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
2204-142016,24,14,4,,,,,,,,,,,,50,,,,,,,,,,,,,1,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2204-162416,26,16,4,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,
2204-182616,28,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2204-223216,34,22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2204-851416,18,8.5,4,,,,,,10,,,,,,,,,10,,,,1,,10,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,
2205-650905,13,6.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,5,,,1,,,1,,,
2205-650908,13,6.5,4,10,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,
2205-650921,13,6.5,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4,2,,,,,8,,,
2205-650926,13,6.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
2205-650931,13,6.5,4,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2205-650999,13,6.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
2206-081231,16,9,4,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206-091300,17,9,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
2206-122000,24,12,3.25,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206-142000,24,14,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,
2207-071315,17,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,
2207-851415,18,8.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208-071008,14,7,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
2208-081308,17,8,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
2208-101808,22,10,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,
2208-162408,29,16,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
2208-751208,16,7.5,3,,,,,,,,,,,,,,10,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2209-101545,21,11,5,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210-122010,24,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,
2210-122025,24,12,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210-951725,21,9.5,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210-951730,21,9.5,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210-951735,21,9.5,3,,5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2212-101804,22,10,2.5,,,,,,4,,,6,,,,,,,4,,,,,10,,,,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2212-101807,22,10,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4,,,,
2212-851304,17,8.5,2.5,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,
2212-851307,17,8.5,2.5,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
