Uniform SKU,length_cm,width_cm,height_cm,11/21/2024,11/22/2024,11/23/2024,11/24/2024,11/25/2024,11/26/2024,11/27/2024,11/28/2024,11/29/2024,11/30/2024,12/1/2024,12/2/2024,12/3/2024,12/4/2024,12/5/2024,12/6/2024,12/7/2024,12/8/2024,12/9/2024,12/10/2024,12/11/2024,12/12/2024,12/13/2024,12/14/2024,12/15/2024,12/16/2024,12/17/2024,12/18/2024,12/19/2024,12/20/2024,12/21/2024,12/22/2024,12/23/2024,12/24/2024,12/25/2024,12/26/2024,12/27/2024,12/28/2024,12/29/2024,12/30/2024,12/31/2024,1/1/2025,1/2/2025,1/3/2025,1/4/2025,1/5/2025,1/6/2025,1/7/2025,1/8/2025,1/9/2025,1/10/2025,1/11/2025,1/12/2025,1/13/2025,1/14/2025,1/15/2025,1/16/2025,1/17/2025,1/18/2025,1/19/2025,1/20/2025,1/21/2025,1/22/2025,1/23/2025,1/24/2025,1/25/2025,1/26/2025,1/27/2025,1/28/2025,1/29/2025,1/30/2025,1/31/2025
1103-121810,18,12,2,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,5,,,,,,,25
1103-121815,18,12,2,,,,,,10,,,,,,7,,,,,,,2,,,,,,,,10,,1,,,,,,,,,,,1,,,2,,,,,,7,,,,,,,9,,,,,,,4,,2,,,,,,12,
1103-121821,18,12,2,15,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,1,13,,,,,,5,,,,,,,,,,,,,1,2,,,,,25,,,10,25
1103-121825,18,12,2,,,,,,,,,,,,4,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,19
1103-121826,18,12,2,,,,,,,1,,1,,1,1,,,,,1,,,,,,,,,,1,,,,2,,1,,25,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,25
1103-121830,18,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,5,,,,,,10,
1103-121832,18,12,2,,,,,,,,,,,,,,,,,,,19,,,1,,,,,,7,,,,,1,,26,,,,,15,,,,,,,,,3,,2,,,,,4,,,,,,,2,5,,,,2,1,,,25
1103-121841,18,12,2,,3,,,,,1,,,,,19,,10,,,,,,,,,15,3,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103-121851,18,12,2,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,5,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,3,,,,,25
1103-121876,18,12,2,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
