date,cpc
1/29/2023,28.07
1/30/2023,23.63
1/31/2023,22.20
2/1/2023,33.51
2/2/2023,22.92
2/3/2023,23.73
2/4/2023,30.46
2/5/2023,22.42
2/6/2023,25.85
2/7/2023,30.79
2/8/2023,21.84
2/9/2023,19.70
2/10/2023,14.92
2/11/2023,24.35
2/12/2023,28.74
2/13/2023,22.76
2/14/2023,21.84
2/15/2023,22.44
2/16/2023,14.96
2/17/2023,20.75
2/18/2023,19.83
2/19/2023,19.42
2/20/2023,15.21
2/21/2023,11.26
2/22/2023,18.10
2/23/2023,14.02
2/24/2023,16.20
2/25/2023,19.78
2/26/2023,23.40
2/27/2023,19.39
2/28/2023,20.28
3/1/2023,20.16
3/2/2023,18.39
3/3/2023,21.31
3/4/2023,36.62
3/5/2023,37.75
3/6/2023,25.86
3/7/2023,25.06
3/8/2023,18.39
3/9/2023,15.56
3/10/2023,20.03
3/11/2023,18.26
3/12/2023,23.00
3/13/2023,14.80
3/14/2023,10.64
3/15/2023,9.75
3/16/2023,14.34
3/17/2023,17.89
3/18/2023,23.38
3/19/2023,19.01
3/20/2023,18.89
3/21/2023,18.99
3/22/2023,21.32
3/23/2023,20.74
3/24/2023,19.07
3/25/2023,21.49
3/26/2023,28.91
3/27/2023,23.79
3/28/2023,23.25
3/29/2023,22.15
3/30/2023,21.48
3/31/2023,16.44
4/1/2023,21.68
4/2/2023,27.30
4/3/2023,23.19
4/4/2023,22.12
4/5/2023,30.48
4/6/2023,25.46
4/7/2023,27.59
4/8/2023,29.90
4/9/2023,34.20
4/10/2023,27.34
4/11/2023,20.31
4/12/2023,27.39
4/13/2023,19.80
4/14/2023,23.62
4/15/2023,26.13
4/16/2023,25.27
4/17/2023,29.76
4/18/2023,22.90
4/19/2023,19.17
4/20/2023,20.07
4/21/2023,15.63
4/22/2023,21.58
4/23/2023,23.58
4/24/2023,17.24
4/25/2023,13.84
4/26/2023,17.25
4/27/2023,17.31
4/28/2023,17.53
4/29/2023,22.97
4/30/2023,18.90
5/1/2023,21.32
5/2/2023,22.02
5/3/2023,15.69
5/4/2023,15.53
5/5/2023,17.54
5/6/2023,23.14
5/7/2023,27.27
5/8/2023,15.44
5/9/2023,17.63
5/10/2023,18.00
5/11/2023,18.01
5/12/2023,17.99
5/13/2023,24.62
5/14/2023,34.69
5/15/2023,20.70
5/16/2023,16.22
5/17/2023,18.92
5/18/2023,24.67
5/19/2023,21.38
5/20/2023,27.65
5/21/2023,29.36
5/22/2023,18.87
5/23/2023,19.85
5/24/2023,20.47
5/25/2023,19.59
5/26/2023,24.57
5/27/2023,25.29
5/28/2023,25.93
5/29/2023,25.42
5/30/2023,22.00
5/31/2023,25.17
6/1/2023,6.60
6/8/2023,38.30
6/9/2023,20.57
6/10/2023,24.78
6/11/2023,22.36
6/12/2023,14.68
6/13/2023,18.25
6/14/2023,20.24
6/15/2023,20.38
6/16/2023,24.35
6/17/2023,31.61
6/18/2023,38.62
6/19/2023,23.28
6/20/2023,20.73
6/21/2023,23.30
6/22/2023,23.01
6/23/2023,22.08
6/24/2023,27.73
6/25/2023,32.85
6/26/2023,18.00
6/27/2023,15.12
6/28/2023,13.47
6/29/2023,12.52
6/30/2023,13.12
7/1/2023,16.86
7/2/2023,23.06
7/3/2023,15.47
7/4/2023,21.25
7/5/2023,15.75
7/6/2023,15.83
7/7/2023,14.59
7/8/2023,18.00
7/9/2023,19.44
7/10/2023,14.38
7/11/2023,14.63
7/12/2023,14.28
7/13/2023,13.69
7/14/2023,16.93
7/15/2023,24.99
7/16/2023,27.69
7/17/2023,12.57
7/18/2023,19.12
7/19/2023,15.33
7/20/2023,17.41
7/21/2023,16.67
7/22/2023,25.91
7/23/2023,21.38
7/24/2023,15.99
7/25/2023,17.43
7/26/2023,16.87
7/27/2023,18.32
7/28/2023,19.22
